district,state,full_vaccination_any_source,full_vaccination_card_only,bcg_vaccination,polio_3_doses,dpt_3_doses,measles_first_dose,measles_second_dose,rotavirus_3_doses,hepatitis_3_doses,vitamin_a_supplementation,vaccinations_public_facility,vaccinations_private_facility
Udupi ,Karnataka,89.9,,100.0,94.3,94.0,96.2,38.1,2.0,94.0,88.1,90.5,7.6
Chikmagalur ,Karnataka,,,,,,,,,,85.5,,
Tumkur ,Karnataka,,,,,,,,,,96.8,,
Bangalore ,Karnataka,,,,,,,,,,86.9,,
Mandya ,Karnataka,,,,,,,,,,94.9,,
Hassan ,Karnataka,,,,,,,,,,91.7,,
Dakshina Kannada ,Karnataka,,,,,,,,,,88.7,,
Kodagu ,Karnataka,,,,,,,,,,90.7,,
Mysore ,Karnataka,,,,,,,,,,98.1,,
Chamarajanagar ,Karnataka,,,,,,,,,,93.6,,
Gulbarga ,Karnataka,75.3,86.3,95.0,81.9,87.4,84.0,25.6,12.2,84.5,94.5,94.6,4.2
Yadgir ,Karnataka,82.6,84.6,97.2,85.3,91.0,89.3,24.6,1.6,90.1,77.7,97.6,2.4
Kolar ,Karnataka,,,,,,,,,,87.5,,
Chikkaballapura ,Karnataka,,,,,,,,,,84.8,,
Bangalore Rural ,Karnataka,92.7,,100.0,94.3,98.4,100.0,27.1,4.3,94.6,84.9,100.0,0.0
Ramanagara ,Karnataka,,,,,,,,,,87.6,,
Kasaragod ,Kerala,92.5,98.0,98.6,94.4,96.6,97.3,9.3,24.7,95.3,83.4,88.3,11.7
Kannur ,Kerala,77.7,,98.0,79.5,87.5,83.7,9.8,3.9,87.5,80.2,91.6,8.4
Wayanad ,Kerala,,,,,,,,,,78.1,,
Kozhikode ,Kerala,,,,,,,,,,80.9,,
Malappuram ,Kerala,80.3,,100.0,86.3,82.3,86.3,18.4,3.5,82.0,74.2,79.6,20.4
Palakkad ,Kerala,,,,,,,,,,77.6,,
Thrissur ,Kerala,,,,,,,,,,87.7,,
Ernakulam ,Kerala,,,,,,,,,,88.2,,
Idukki ,Kerala,,,,,,,,,,81.3,,
Kottayam ,Kerala,,,,,,,,,,91.2,,
Alappuzha ,Kerala,,,,,,,,,,93.6,,
Pathanamthitta ,Kerala,,,,,,,,,,,,
Kollam ,Kerala,,,,,,,,,,93.9,,
Thiruvananthapuram ,Kerala,,,,,,,,,,91.8,,
Leh(Ladakh) ,Ladakh,,,,,,,,,,89.2,,
Kargil ,Ladakh,,,,,,,,,,85.0,,
Lakshadweep , Lakshadweep ,,,,,,,,,,44.8,,
Sheopur ,Madhya Pradesh,65.8,78.3,93.6,70.2,78.2,75.5,28.7,61.2,74.1,68.1,100.0,0.0
Morena ,Madhya Pradesh,69.7,69.3,91.0,80.0,81.1,85.1,24.7,78.6,81.1,63.1,98.7,0.0
Bhind ,Madhya Pradesh,70.7,77.8,92.2,74.9,83.1,89.4,24.4,78.0,81.7,67.1,98.5,1.5
Gwalior ,Madhya Pradesh,80.5,86.6,91.8,82.2,83.9,82.2,26.9,70.2,81.0,72.6,94.7,1.9
Datia ,Madhya Pradesh,79.6,,98.5,81.5,88.8,88.6,21.4,81.1,87.1,68.9,100.0,0.0
Shivpuri ,Madhya Pradesh,63.1,67.8,94.5,68.7,77.5,78.4,33.0,70.5,76.0,69.5,100.0,0.0
Tikamgarh ,Madhya Pradesh,,,,,,,,,,60.2,,
Chhatarpur ,Madhya Pradesh,72.9,,98.2,79.6,93.2,87.1,34.7,68.1,91.7,65.7,98.2,0.0
Panna ,Madhya Pradesh,64.5,76.2,88.4,70.1,80.6,76.4,38.3,58.4,74.5,77.0,98.5,1.5
Sagar ,Madhya Pradesh,75.9,77.0,98.5,79.2,81.6,88.3,34.7,57.1,78.8,67.7,99.0,0.0
Damoh ,Madhya Pradesh,60.8,,92.7,68.3,75.6,78.6,36.9,53.3,71.6,80.1,98.0,2.0
Satna ,Madhya Pradesh,,,,,,,,,,61.9,,
Rewa ,Madhya Pradesh,70.3,77.7,96.1,70.3,92.2,93.5,39.8,68.0,86.6,82.2,97.2,0.0
Umaria ,Madhya Pradesh,90.6,91.9,98.6,95.6,94.9,94.5,29.4,72.5,88.9,84.6,100.0,0.0
Neemuch ,Madhya Pradesh,88.7,87.9,100.0,88.7,93.2,91.4,34.2,87.9,93.2,76.1,98.3,1.8
Mandsaur ,Madhya Pradesh,75.1,,94.7,80.2,85.7,87.3,29.2,71.8,85.7,87.9,98.3,1.7
Ratlam ,Madhya Pradesh,93.0,95.5,97.3,93.0,94.4,94.4,40.9,91.5,94.4,86.0,98.5,1.5
Ujjain ,Madhya Pradesh,93.7,96.4,100.0,93.7,97.1,95.6,47.8,74.0,91.7,88.5,96.8,3.2
Dewas ,Madhya Pradesh,87.1,95.0,96.7,88.5,94.9,96.5,42.2,79.5,91.8,86.7,98.7,1.3
Dhar ,Madhya Pradesh,,,,,,,,,,81.1,,
Indore ,Madhya Pradesh,84.6,90.3,96.0,86.1,90.1,90.1,36.4,65.0,86.8,74.3,93.8,6.2
Khargone (West Nimar) ,Madhya Pradesh,77.4,76.9,95.1,81.0,86.6,88.2,51.4,69.5,88.6,96.0,100.0,0.0
Barwani ,Madhya Pradesh,76.1,78.3,96.5,78.6,84.4,85.9,37.8,72.6,86.8,75.0,100.0,0.0
Rajgarh ,Madhya Pradesh,71.9,,90.3,71.9,88.7,85.8,29.1,65.3,83.6,72.7,98.1,0.0
Vidisha ,Madhya Pradesh,78.0,88.2,91.1,82.5,81.5,84.5,29.2,67.9,78.9,68.0,100.0,0.0
Bhopal ,Madhya Pradesh,,,,,,,,,,,,
Sehore ,Madhya Pradesh,60.3,,93.3,65.7,80.7,80.8,30.1,55.1,76.9,70.5,100.0,0.0
Raisen ,Madhya Pradesh,,,,,,,,,,,,
Betul ,Madhya Pradesh,80.9,83.6,94.9,91.0,88.1,91.6,46.2,86.4,86.4,93.1,100.0,0.0
Harda ,Madhya Pradesh,90.8,,100.0,92.6,98.1,96.3,51.4,86.9,96.1,89.9,100.0,0.0
Hoshangabad ,Madhya Pradesh,73.5,,94.9,79.0,87.9,87.9,42.3,79.7,84.9,84.1,97.1,2.9
Katni ,Madhya Pradesh,,,,,,,,,,69.7,,
Jabalpur ,Madhya Pradesh,,,,,,,,,,,,
Narsimhapur ,Madhya Pradesh,82.7,81.3,87.2,87.9,88.4,88.2,40.3,68.0,81.6,74.1,100.0,0.0
Dindori ,Madhya Pradesh,80.3,81.7,96.4,88.6,83.3,85.4,29.7,66.6,80.2,76.5,100.0,0.0
Mandla ,Madhya Pradesh,88.9,94.6,96.7,92.3,93.5,93.1,38.4,78.6,93.5,94.9,100.0,0.0
Chhindwara ,Madhya Pradesh,,,,,,,,,,79.5,,
Seoni ,Madhya Pradesh,88.8,96.1,98.2,90.3,94.8,93.4,38.8,81.6,96.2,93.8,100.0,0.0
Balaghat ,Madhya Pradesh,,,,,,,,,,94.7,,
Guna ,Madhya Pradesh,78.8,81.7,95.4,82.2,83.7,87.0,43.1,83.0,83.8,81.5,97.9,2.1
Ashoknagar ,Madhya Pradesh,69.1,,96.5,72.5,86.9,80.3,39.4,78.6,84.9,74.4,,
Shahdol ,Madhya Pradesh,86.1,87.4,98.7,94.5,87.6,94.1,45.8,77.3,87.6,88.2,100.0,0.0
Anuppur ,Madhya Pradesh,86.6,90.1,92.3,90.6,86.6,88.5,39.4,81.2,86.6,84.1,100.0,0.0
Sidhi ,Madhya Pradesh,78.2,77.5,97.6,88.0,86.3,92.3,27.1,77.7,83.6,88.5,98.7,1.3
Singrauli ,Madhya Pradesh,76.9,78.3,96.2,78.7,78.7,79.6,18.4,65.4,78.7,81.8,96.3,1.5
Jhabua ,Madhya Pradesh,88.9,92.2,98.7,93.1,94.6,93.6,45.3,85.5,94.6,71.0,100.0,0.0
Alirajpur ,Madhya Pradesh,84.1,82.7,97.6,84.1,87.5,87.3,30.8,70.7,85.1,93.3,100.0,0.0
Khandwa (East Nimar) ,Madhya Pradesh,,,,,,,,,,86.9,,
Burhanpur ,Madhya Pradesh,91.7,92.6,97.1,91.7,94.2,92.9,29.9,92.9,92.9,81.8,98.4,1.6
Agar Malwa ,Madhya Pradesh,,,,,,,,,,92.0,,
Shajapur ,Madhya Pradesh,90.0,89.2,98.6,91.4,97.2,97.5,49.8,70.6,96.0,73.0,100.0,0.0
Nandurbar ,Maharastra,72.4,77.9,95.9,77.0,86.5,86.5,22.1,11.8,69.1,68.2,98.6,1.4
Dhule ,Maharastra,56.6,,87.1,62.3,67.4,67.7,18.9,5.2,51.9,55.7,90.4,9.6
Jalgaon ,Maharastra,,,,,,,,,,57.9,,
Buldana ,Maharastra,,,,,,,,,,89.2,,
Akola ,Maharastra,69.5,66.1,97.8,77.0,80.1,83.8,25.2,10.0,71.6,88.3,89.8,10.2
Washim ,Maharastra,71.6,,96.4,79.0,80.6,88.0,31.6,5.6,65.6,77.9,100.0,0.0
Amravati ,Maharastra,,,,,,,,,,85.9,,
Wardha ,Maharastra,,,,,,,,,,87.1,,
Nagpur ,Maharastra,89.4,87.4,100.0,94.7,95.1,94.5,39.0,9.6,88.3,95.6,79.3,20.7
Bhandara ,Maharastra,,,,,,,,,,83.9,,
Gondiya ,Maharastra,,,,,,,,,,77.4,,
Gadchiroli ,Maharastra,,,,,,,,,,88.1,,
Chandrapur ,Maharastra,,,,,,,,,,86.8,,
Yavatmal ,Maharastra,74.7,77.6,98.0,84.2,88.6,90.0,26.6,0.0,85.5,71.0,94.9,5.2
Nanded ,Maharastra,75.7,84.9,93.8,82.3,79.9,81.2,35.1,2.5,76.9,70.5,93.0,7.0
Hingoli ,Maharastra,76.9,,98.3,78.6,92.7,94.0,41.5,7.3,83.5,72.1,94.8,5.2
Parbhani ,Maharastra,52.0,,89.6,55.9,76.2,77.2,17.6,5.7,66.6,52.9,93.1,5.5
Jalna ,Maharastra,54.3,,92.6,66.4,64.3,75.9,22.9,15.3,50.8,70.1,96.1,2.6
Aurangabad ,Maharastra,56.7,,94.2,62.4,89.0,81.5,11.8,27.8,75.4,69.2,98.4,1.6
Nashik ,Maharastra,70.4,,88.6,74.3,80.3,76.2,30.3,2.1,67.4,58.7,,
Mumbai Suburban ,Maharastra,,,,,,,,,,,,
Mumbai ,Maharastra,,,,,,,,,,77.8,,
Raigarh ,Maharastra,,,,,,,,,,73.8,,
Pune ,Maharastra,,,,,,,,,,69.9,,
Ahmadnagar ,Maharastra,83.5,88.3,96.6,87.6,92.6,93.8,43.9,4.4,89.3,69.9,93.1,6.9
Bid ,Maharastra,75.9,,96.5,78.0,84.8,89.8,22.5,11.2,75.8,82.4,97.8,2.2
Latur ,Maharastra,79.2,77.9,96.2,83.0,84.7,88.9,27.2,8.4,83.2,88.7,91.0,9.0
Osmanabad ,Maharastra,89.3,85.3,100.0,94.5,93.2,96.7,33.6,7.0,87.6,67.9,92.0,8.0
Solapur ,Maharastra,83.6,86.3,93.5,85.1,90.2,88.3,34.6,4.7,85.6,65.9,88.7,7.7
Satara ,Maharastra,,,,,,,,,,78.3,,
Ratnagiri ,Maharastra,,,,,,,,,,77.3,,
Sindhudurg ,Maharastra,,,,,,,,,,78.9,,
Kolhapur ,Maharastra,,,,,,,,,,66.0,,
Sangli ,Maharastra,75.0,,96.3,81.4,82.8,89.2,11.3,2.0,77.1,80.4,,
Palghar ,Maharastra,,,,,,,,,,72.7,,
Thane ,Maharastra,,,,,,,,,,68.7,,
Senapati ,Manipur,65.0,79.9,87.2,70.9,77.1,75.2,12.7,14.9,77.2,37.8,98.4,1.6
Tamenglong ,Manipur,67.4,78.1,91.2,71.2,78.6,77.8,17.2,3.7,73.4,41.5,98.2,1.8
Churachandpur ,Manipur,64.9,,88.9,77.4,76.5,71.9,20.5,11.7,68.2,37.8,91.7,5.6
Bishnupur ,Manipur,66.6,,96.1,84.1,77.8,70.5,16.0,8.6,81.5,59.6,94.3,5.7
Thoubal ,Manipur,74.2,79.9,98.7,80.2,84.6,77.4,19.7,4.9,83.2,43.5,96.8,0.0
Imphal West ,Manipur,,,,,,,,,,54.2,,
Imphal East ,Manipur,76.2,72.5,100.0,79.0,83.3,81.9,10.5,4.9,81.9,43.0,87.6,10.7
Ukhrul ,Manipur,39.4,45.0,91.5,49.8,53.3,53.2,11.5,0.0,51.2,34.9,89.4,6.2
Chandel ,Manipur,55.5,,96.5,69.3,76.6,60.6,7.6,2.3,76.2,42.8,86.7,8.8
South Garo Hills ,Meghalaya,,,,,,,,,,57.2,,
Ribhoi ,Meghalaya,74.8,86.7,94.0,77.1,82.8,80.9,11.8,4.4,71.5,66.6,92.6,4.1
East Khasi Hills ,Meghalaya,49.1,69.4,84.2,53.2,59.2,56.6,10.9,5.2,46.8,54.4,87.5,9.9
East Garo Hills ,Meghalaya,72.4,,81.5,76.6,83.3,83.3,19.3,12.5,74.8,56.6,,
East Jantia Hills ,Meghalaya,74.4,82.4,92.6,80.8,84.0,83.8,21.6,0.6,77.8,70.0,96.9,1.2
North Garo Hills ,Meghalaya,,,,,,,,,,42.6,,
South West Garo Hills ,Meghalaya,85.4,90.1,98.6,91.1,90.9,92.1,25.7,13.4,89.5,53.0,100.0,0.0
South West Khasi Hills ,Meghalaya,78.8,86.3,95.8,80.5,86.9,86.4,17.4,0.6,82.4,64.0,98.1,0.0
West Garo Hills ,Meghalaya,,,,,,,,,,68.2,,
West Jaintia Hills ,Meghalaya,59.7,84.1,90.9,65.2,77.0,72.3,22.4,4.8,72.0,63.2,93.3,2.3
West Khasi Hills ,Meghalaya,62.5,77.4,86.7,67.6,68.2,71.5,12.3,0.7,66.4,63.4,95.9,0.9
Chandel ,Mizoram,55.5,,96.5,69.3,76.6,60.6,7.6,2.3,76.2,42.8,86.7,8.8
Mamit ,Mizoram,85.9,85.7,98.5,87.4,95.2,95.2,19.2,2.5,91.1,60.8,100.0,0.0
Kolasib ,Mizoram,80.4,91.4,88.1,90.9,85.2,83.1,32.6,0.0,79.9,65.7,97.4,0.0
Aizawl ,Mizoram,66.4,,81.6,68.7,79.4,77.9,28.6,16.6,71.4,71.6,,
Champhai ,Mizoram,,,,,,,,,,63.1,,
Serchhip ,Mizoram,84.7,93.0,89.8,85.8,84.7,85.8,28.6,0.0,84.2,65.9,100.0,0.0
Lunglei ,Mizoram,,,,,,,,,,61.3,,
Lawngtlai ,Mizoram,70.2,91.7,75.6,75.3,74.1,76.8,23.2,0.0,72.6,55.1,96.9,0.0
Mon ,Nagaland,62.4,,87.1,72.2,79.1,83.4,30.6,2.8,70.9,46.9,97.0,0.0
Mokokchung ,Nagaland,,,,,,,,,,51.3,,
Zunheboto ,Nagaland,,,,,,,,,,33.5,,
Wokha ,Nagaland,,,,,,,,,,44.9,,
Dimapur ,Nagaland,,,,,,,,,,49.4,,
Phek ,Nagaland,54.6,,87.6,68.4,65.3,71.8,26.4,2.1,57.3,42.2,100.0,0.0
Tuensang ,Nagaland,39.9,,75.6,47.6,56.5,53.3,9.8,1.9,49.1,27.5,94.6,2.1
Longleng ,Nagaland,53.0,,88.3,57.5,64.7,73.3,16.5,5.5,58.2,46.8,97.3,2.7
Kiphire ,Nagaland,42.8,,82.1,53.1,60.2,66.2,21.4,9.8,49.3,42.3,91.3,2.1
Kohima ,Nagaland,,,,,,,,,,76.8,,
Peren ,Nagaland,63.3,76.4,86.8,71.9,71.2,74.2,12.5,0.4,65.1,44.2,94.7,0.0
Central ,NCT of Delhi,,,,,,,,,,48.8,,
East ,NCT of Delhi,74.6,,95.7,78.7,81.2,90.4,37.0,40.8,77.8,58.7,89.1,10.9
New Delhi ,NCT of Delhi,82.2,,100.0,82.2,95.0,93.4,37.0,40.3,87.1,55.4,95.8,4.2
North ,NCT of Delhi,66.2,76.2,96.3,70.9,81.8,88.7,43.6,14.5,78.1,47.3,92.1,7.9
North East ,NCT of Delhi,86.4,83.2,95.7,86.4,93.4,91.6,31.3,43.6,89.2,42.8,92.3,7.7
North West ,NCT of Delhi,78.3,78.0,95.4,83.2,83.4,88.6,39.1,14.8,79.7,54.4,91.7,8.3
Shahdara ,NCT of Delhi,,,,,,,,,,67.8,,
South ,NCT of Delhi,,,,,,,,,,37.8,,
South East ,NCT of Delhi,,,,,,,,,,74.1,,
South West ,NCT of Delhi,,,,,,,,,,58.1,,
West ,NCT of Delhi,67.5,,98.5,76.0,76.3,89.7,33.8,11.0,74.5,47.6,85.0,13.6
Bargarh ,Odisha,95.9,97.9,100.0,95.9,98.1,97.8,55.3,96.3,98.1,90.9,98.2,1.9
Jharsuguda ,Odisha,,,,,,,,,,92.7,,
Sambalpur ,Odisha,,,,,,,,,,91.1,,
Debagarh ,Odisha,,,,,,,,,,80.9,,
Sundargarh ,Odisha,,,,,,,,,,90.1,,
Kendujhar ,Odisha,86.0,,94.1,88.1,89.9,94.0,33.1,82.3,89.9,81.9,,
Mayurbhanj ,Odisha,84.4,85.4,93.2,86.2,89.6,88.0,39.9,86.2,88.0,78.9,97.0,3.0
Baleshwar ,Odisha,94.1,,100.0,94.1,100.0,100.0,36.3,86.3,100.0,85.5,100.0,0.0
Bhadrak ,Odisha,83.7,88.7,95.4,85.4,97.2,97.2,49.8,85.8,97.2,89.7,100.0,0.0
Kendrapara ,Odisha,,,,,,,,,,78.5,,
Jagatsinghapur ,Odisha,,,,,,,,,,90.6,,
Cuttack ,Odisha,,,,,,,,,,71.7,,
Jajapur ,Odisha,79.5,70.5,98.2,81.3,91.0,96.5,44.9,67.7,91.0,90.0,100.0,0.0
Dhenkanal ,Odisha,,,,,,,,,,86.4,,
Anugul ,Odisha,87.0,86.5,98.2,88.8,94.3,96.1,38.3,83.2,94.3,88.9,98.5,0.0
Nayagarh ,Odisha,,,,,,,,,,92.0,,
Khordha ,Odisha,,,,,,,,,,89.0,,
Puri ,Odisha,,,,,,,,,,94.1,,
Ganjam ,Odisha,88.5,,96.0,88.5,90.6,92.3,58.4,81.8,90.6,88.4,,
Gajapati ,Odisha,92.6,97.7,96.5,92.6,94.4,94.4,54.3,92.7,94.4,80.0,100.0,0.0
Kandhamal ,Odisha,96.8,94.0,100.0,96.8,98.4,100.0,47.0,98.4,98.4,87.2,100.0,0.0
Baudh ,Odisha,91.8,92.8,95.1,93.7,95.3,95.3,48.5,91.5,95.3,93.7,100.0,0.0
Subarnapur ,Odisha,98.0,98.0,100.0,100.0,98.0,100.0,56.3,95.8,98.0,91.0,100.0,0.0
Balangir ,Odisha,,,,,,,,,,91.4,,
Nuapada ,Odisha,97.0,95.9,100.0,97.0,98.4,100.0,54.0,96.9,98.4,89.2,100.0,0.0
Kalahandi ,Odisha,,,,,,,,,,91.6,,
Rayagada ,Odisha,92.7,92.7,93.9,93.7,93.7,93.7,53.1,92.8,92.8,90.4,98.7,1.3
Nabarangapur ,Odisha,94.8,96.1,100.0,94.8,96.1,97.4,48.6,97.4,96.1,86.7,100.0,0.0
Koraput ,Odisha,98.0,98.0,100.0,98.0,100.0,100.0,44.2,100.0,100.0,89.6,98.0,0.0
Malkangiri ,Odisha,94.8,97.2,100.0,94.8,97.3,97.2,46.9,96.2,97.3,88.0,100.0,0.0
Yanam ,Puducherry,,,,,,,,,,75.8,,
Puducherry ,Puducherry,,,,,,,,,,82.6,,
Mahe ,Puducherry,,,,,,,,,,84.4,,
Karaikal ,Puducherry,,,,,,,,,,76.9,,
Kapurthala ,Punjab,65.7,,96.2,69.5,86.8,90.5,37.2,58.6,81.4,72.9,88.8,11.2
Jalandhar ,Punjab,,,,,,,,,,72.8,,
Hoshiarpur ,Punjab,,,,,,,,,,69.3,,
Shahid Bhagat Singh Nagar ,Punjab,,,,,,,,,,74.6,,
Fatehgarh Sahib ,Punjab,83.6,,94.6,87.5,88.8,90.8,33.8,79.5,88.8,80.7,98.3,1.8
Ludhiana ,Punjab,,,,,,,,,,72.1,,
Moga ,Punjab,,,,,,,,,,70.5,,
Muktsar ,Punjab,,,,,,,,,,60.6,,
Faridkot ,Punjab,70.8,,95.7,72.5,86.5,86.1,24.2,41.1,74.4,76.5,90.1,8.2
Bathinda ,Punjab,,,,,,,,,,57.2,,
Mansa ,Punjab,79.1,88.8,97.7,85.3,93.2,89.3,34.0,55.5,89.9,68.5,94.4,3.3
Patiala ,Punjab,,,,,,,,,,78.2,,
Amritsar ,Punjab,,,,,,,,,,66.9,,
Tarn Taran ,Punjab,81.8,,96.4,83.5,92.6,89.4,32.0,57.7,90.7,71.3,96.4,0.0
Rupnagar ,Punjab,,,,,,,,,,73.0,,
Sahibzada Ajit Singh Nagar ,Punjab,71.1,,96.8,74.2,85.0,78.7,26.8,64.5,82.9,72.6,91.2,8.8
Sangrur ,Punjab,,,,,,,,,,64.9,,
Barnala ,Punjab,68.5,,92.4,75.5,88.3,86.8,29.8,50.2,84.1,71.9,83.3,15.0
Fazilka ,Punjab,,,,,,,,,,57.6,,
Firozpur ,Punjab,74.5,,97.8,78.4,90.9,89.9,27.9,64.0,88.7,57.6,88.3,11.7
Gurdaspur ,Punjab,80.0,,91.8,87.0,88.6,87.8,27.3,66.3,82.3,80.3,88.2,9.9
Pathankot ,Punjab,,,,,,,,,,65.8,,
Ganganagar ,Rajasthan,89.7,90.4,95.6,91.1,94.0,95.6,17.9,45.1,94.0,70.8,98.5,1.5
Hanumangarh ,Rajasthan,83.3,86.6,92.2,88.3,94.7,93.5,27.3,57.6,94.7,64.8,100.0,0.0
Bikaner ,Rajasthan,75.6,81.3,94.8,80.4,84.0,85.1,23.8,58.6,85.1,56.3,95.6,4.4
Churu ,Rajasthan,74.3,82.4,93.0,79.1,88.2,88.1,35.8,52.5,85.7,61.4,100.0,0.0
Jhunjhunun ,Rajasthan,88.7,88.0,98.5,90.2,96.0,94.6,34.8,52.4,94.3,62.9,98.4,1.6
Alwar ,Rajasthan,59.4,,92.6,72.5,71.4,81.0,27.8,40.2,68.8,52.8,97.3,1.2
Bharatpur ,Rajasthan,64.1,67.2,86.0,77.4,80.1,83.0,13.6,51.2,81.2,44.9,96.8,1.1
Dhaulpur ,Rajasthan,85.9,79.8,98.3,89.7,94.3,97.0,28.9,79.6,94.3,63.0,97.3,1.1
Karauli ,Rajasthan,88.9,93.1,98.2,91.2,95.9,95.9,20.6,70.0,95.9,61.7,98.4,1.6
Sawai Madhopur ,Rajasthan,54.9,,90.1,62.5,77.2,77.5,24.5,35.9,65.7,56.6,100.0,0.0
Dausa ,Rajasthan,92.1,87.4,98.5,95.0,96.2,96.1,27.0,82.8,97.5,60.2,100.0,0.0
Jaipur ,Rajasthan,89.3,96.8,98.6,89.3,97.1,98.6,22.0,89.8,97.1,62.3,97.3,2.7
Sikar ,Rajasthan,70.0,71.3,95.7,77.6,80.6,86.5,22.5,38.0,79.3,68.1,93.2,6.9
Nagaur ,Rajasthan,80.6,93.4,95.3,82.7,92.0,92.0,28.2,42.6,90.2,66.0,98.7,0.0
Jodhpur ,Rajasthan,81.2,77.0,94.1,87.2,85.9,89.0,23.4,46.1,84.1,69.8,97.3,2.7
Jaisalmer ,Rajasthan,72.0,74.7,89.8,76.1,78.3,80.3,18.8,46.2,78.3,70.7,96.8,2.1
Barmer ,Rajasthan,92.9,92.8,97.5,94.0,92.9,92.9,28.4,68.9,92.9,77.7,100.0,0.0
Jalor ,Rajasthan,78.0,82.4,97.4,84.5,85.3,87.7,26.7,62.5,85.3,76.7,96.7,2.3
Sirohi ,Rajasthan,86.4,95.6,91.2,88.9,92.5,93.7,16.0,77.8,90.1,65.5,100.0,0.0
Pali ,Rajasthan,90.2,89.2,100.0,91.5,93.1,97.4,33.0,61.1,91.6,65.7,100.0,0.0
Ajmer ,Rajasthan,78.9,92.3,96.8,80.5,91.9,93.5,29.0,56.1,91.9,64.0,95.2,4.8
Tonk ,Rajasthan,75.3,,94.4,77.2,90.5,88.7,32.2,60.9,88.8,52.8,93.6,0.0
Bundi ,Rajasthan,75.7,81.4,97.7,83.1,92.3,91.1,28.7,65.5,87.5,62.8,100.0,0.0
Bhilwara ,Rajasthan,83.2,87.8,94.6,89.9,89.1,89.1,17.6,78.6,88.1,70.2,100.0,0.0
Rajsamand ,Rajasthan,71.7,76.6,85.3,79.1,81.3,86.7,13.8,52.8,81.3,63.3,100.0,0.0
Dungarpur ,Rajasthan,83.3,89.2,96.9,84.8,93.7,96.8,30.0,53.3,89.8,61.7,97.6,2.4
Banswara ,Rajasthan,83.0,88.3,98.9,84.4,91.1,93.5,33.3,75.1,91.1,63.9,100.0,0.0
Chittaurgarh ,Rajasthan,87.8,89.9,100.0,89.1,96.8,97.1,55.5,86.6,98.3,62.7,98.8,1.2
Kota ,Rajasthan,84.4,85.2,98.4,86.3,91.8,95.3,25.8,71.9,85.3,61.6,93.7,6.4
Baran ,Rajasthan,89.3,93.4,100.0,90.5,95.3,96.5,46.1,80.3,95.3,73.9,100.0,0.0
Jhalawar ,Rajasthan,81.5,92.0,98.8,83.9,90.8,90.6,34.6,77.6,89.3,67.8,100.0,0.0
Udaipur ,Rajasthan,86.8,89.5,95.3,88.5,90.2,91.9,22.4,76.4,90.2,74.2,100.0,0.0
Pratapgarh ,Rajasthan,75.8,88.7,96.5,81.1,97.2,91.9,30.2,67.7,97.2,76.1,100.0,0.0
North  District ,Sikkim,,,,,,,,,,90.1,,
West District ,Sikkim,,,,,,,,,,72.2,,
South District ,Sikkim,,,,,,,,,,88.4,,
East District ,Sikkim,,,,,,,,,,91.2,,
Thiruvallur ,Tamil Nadu,,,,,,,,,,62.9,,
Chennai ,Tamil Nadu,,,,,,,,,,56.4,,
Kancheepuram ,Tamil Nadu,,,,,,,,,,67.9,,
Vellore ,Tamil Nadu,92.7,97.2,97.0,93.9,94.3,95.5,46.4,80.8,91.2,71.6,86.1,13.9
Tiruvannamalai ,Tamil Nadu,,,,,,,,,,64.3,,
Viluppuram ,Tamil Nadu,,,,,,,,,,73.2,,
Salem ,Tamil Nadu,,,,,,,,,,67.8,,
Namakkal ,Tamil Nadu,,,,,,,,,,66.2,,
Erode ,Tamil Nadu,,,,,,,,,,64.2,,
The Nilgiris ,Tamil Nadu,,,,,,,,,,69.4,,
Dindigul ,Tamil Nadu,92.6,96.4,97.6,92.6,95.6,96.0,53.9,72.5,89.8,84.0,98.5,1.5
Karur ,Tamil Nadu,,,,,,,,,,48.5,,
Tiruchirappalli ,Tamil Nadu,,,,,,,,,,63.8,,
Perambalur ,Tamil Nadu,,,,,,,,,,64.1,,
Ariyalur ,Tamil Nadu,,,,,,,,,,61.7,,
Cuddalore ,Tamil Nadu,,,,,,,,,,72.7,,
Nagapattinam ,Tamil Nadu,,,,,,,,,,63.4,,
Thiruvarur ,Tamil Nadu,,,,,,,,,,70.9,,
Thanjavur ,Tamil Nadu,,,,,,,,,,49.8,,
Pudukkottai ,Tamil Nadu,83.3,75.9,92.1,90.7,97.1,94.6,49.3,47.0,97.1,69.0,93.6,6.5
Sivaganga ,Tamil Nadu,,,,,,,,,,73.2,,
Madurai ,Tamil Nadu,,,,,,,,,,66.6,,
Theni ,Tamil Nadu,95.2,95.2,98.5,95.9,96.6,97.3,43.1,80.9,96.6,74.0,94.7,3.9
Virudhunagar ,Tamil Nadu,,,,,,,,,,74.8,,
Ramanathapuram ,Tamil Nadu,90.4,91.1,96.5,96.5,90.4,96.5,39.4,62.1,88.7,75.0,93.3,6.7
Thoothukkudi ,Tamil Nadu,,,,,,,,,,63.0,,
Tirunelveli ,Tamil Nadu,,,,,,,,,,69.0,,
Kanniyakumari ,Tamil Nadu,,,,,,,,,,78.4,,
Dharmapuri ,Tamil Nadu,90.6,,98.0,90.6,96.4,96.4,50.5,69.6,94.5,66.2,97.8,2.2
Krishnagiri ,Tamil Nadu,87.3,90.3,96.7,87.3,91.1,91.1,42.3,60.2,84.2,68.5,98.5,1.6
Coimbatore ,Tamil Nadu,,,,,,,,,,75.2,,
